Rule,Lift_Leave,Lift_Stay,Lift_Gap,Direction
"Department_Sales, JobRole_Sales Executive, TotalWorkingYears_Mid-Level, WorkLifeBalance_3, YearsAtCompany_Mid_Tenure",1.0,1.0197572154093892,-0.01975721540938924,Trung tính
"Department_Sales, JobRole_Sales Executive, JobSatisfaction_Low_Satisfaction",1.0,1.0198319327731094,-0.01983193277310935,Trung tính
"EnvironmentSatisfaction_3, JobSatisfaction_Low_Satisfaction, WorkLifeBalance_3",1.0,1.0198604401502953,-0.01986044015029531,Trung tính
"JobSatisfaction_High_Satisfaction, OverTime_Yes",1.0,1.0208392609261703,-0.020839260926170278,Trung tính
"Age_Middle-Aged, DistanceFromHome_Far, MaritalStatus_Married",1.0,1.0213940648723256,-0.021394064872325647,Trung tính
"Department_Sales, JobRole_Sales Executive, JobSatisfaction_High_Satisfaction, TotalWorkingYears_Mid-Level, YearsAtCompany_Mid_Tenure",1.0,1.0213940648723256,-0.021394064872325647,Trung tính
"Department_Sales, MaritalStatus_Married, MonthlyIncome_High_Income",1.0,1.0213940648723256,-0.021394064872325647,Trung tính
"Department_Research & Development, JobSatisfaction_Low_Satisfaction, MaritalStatus_Married, TotalWorkingYears_Mid-Level",1.0,1.0213940648723256,-0.021394064872325647,Trung tính
"Department_Sales, JobSatisfaction_Low_Satisfaction, WorkLifeBalance_3",1.0,1.022777532065458,-0.02277753206545796,Trung tính
"EnvironmentSatisfaction_3, OverTime_No, YearsAtCompany_Short_Tenure",1.0,1.0232444164391234,-0.02324441643912345,Trung tính
"Department_Sales, JobRole_Sales Executive, JobSatisfaction_High_Satisfaction, MonthlyIncome_High_Income",1.0,1.0232444164391234,-0.02324441643912345,Trung tính
"Department_Research & Development, JobSatisfaction_High_Satisfaction, MaritalStatus_Single, YearsAtCompany_Mid_Tenure",1.0,1.0232444164391234,-0.02324441643912345,Trung tính
"MonthlyIncome_High_Income, YearsAtCompany_Short_Tenure",1.0,1.0232444164391234,-0.02324441643912345,Trung tính
"Age_Young, DistanceFromHome_Medium, OverTime_No",1.0,1.0232444164391234,-0.02324441643912345,Trung tính
"Department_Research & Development, JobSatisfaction_High_Satisfaction, WorkLifeBalance_2",1.0,1.0236790627803176,-0.023679062780317617,Trung tính
"Department_Research & Development, EnvironmentSatisfaction_3, MonthlyIncome_Low_Income",1.0,1.0237753638040583,-0.023775363804058314,Trung tính
"MonthlyIncome_Low_Income, OverTime_No, WorkLifeBalance_3, YearsAtCompany_Short_Tenure",1.0,1.0243805972257536,-0.024380597225753586,Trung tính
"Age_Senior, JobSatisfaction_High_Satisfaction, WorkLifeBalance_3",1.0,1.0250549754991085,-0.02505497549910851,Trung tính
"EnvironmentSatisfaction_4, MaritalStatus_Married, TotalWorkingYears_Mid-Level",1.0,1.0250549754991085,-0.02505497549910851,Trung tính
"Department_Research & Development, DistanceFromHome_Medium, EnvironmentSatisfaction_4",1.0,1.0250549754991085,-0.02505497549910851,Trung tính
"Age_Young, MonthlyIncome_Low_Income, OverTime_No, WorkLifeBalance_3",1.0,1.0250549754991085,-0.02505497549910851,Trung tính
"Department_Research & Development, JobRole_Research Scientist, WorkLifeBalance_2",1.0,1.025352956596637,-0.025352956596637055,Trung tính
"Department_Research & Development, DistanceFromHome_Far, TotalWorkingYears_Mid-Level, YearsAtCompany_Mid_Tenure",1.0,1.025352956596637,-0.025352956596637055,Trung tính
"JobSatisfaction_High_Satisfaction, WorkLifeBalance_2",1.0,1.0258394184115933,-0.025839418411593318,Trung tính
"DistanceFromHome_Medium, JobSatisfaction_High_Satisfaction, WorkLifeBalance_3, YearsAtCompany_Mid_Tenure",1.0,1.02645047113407,-0.026450471134070064,Trung tính
"EnvironmentSatisfaction_1, MaritalStatus_Married, OverTime_No",1.0,1.02645047113407,-0.026450471134070064,Trung tính
"Age_Middle-Aged, DistanceFromHome_Far, YearsAtCompany_Mid_Tenure",1.0,1.026827012025902,-0.026827012025901986,Trung tính
"Department_Research & Development, MaritalStatus_Married, MonthlyIncome_Low_Income, TotalWorkingYears_Mid-Level",1.0,1.026827012025902,-0.026827012025901986,Trung tính
"DistanceFromHome_Near, JobSatisfaction_High_Satisfaction, OverTime_No, YearsAtCompany_Short_Tenure",1.0,1.026827012025902,-0.026827012025901986,Trung tính
"DistanceFromHome_Medium, JobSatisfaction_Low_Satisfaction",1.0,1.0269779507133592,-0.026977950713359178,Trung tính
"Age_Middle-Aged, DistanceFromHome_Far, TotalWorkingYears_Mid-Level",1.0,1.0271608643457384,-0.02716086434573839,Trung tính
"Department_Research & Development, EnvironmentSatisfaction_1, OverTime_No, WorkLifeBalance_3",1.0,1.0272641457049252,-0.02726414570492519,Trung tính
"Department_Research & Development, DistanceFromHome_Medium, MaritalStatus_Married, TotalWorkingYears_Mid-Level",1.0,1.0272641457049252,-0.02726414570492519,Trung tính
"Age_Middle-Aged, Department_Research & Development, MonthlyIncome_Low_Income, TotalWorkingYears_Mid-Level",1.0,1.0274022652539279,-0.02740226525392786,Trung tính
"MaritalStatus_Single, MonthlyIncome_Mid_Income, OverTime_No",1.0,1.027641123373074,-0.027641123373074006,Trung tính
"JobSatisfaction_Low_Satisfaction, TotalWorkingYears_Mid-Level, WorkLifeBalance_3, YearsAtCompany_Mid_Tenure",1.0,1.02805638384386,-0.02805638384386011,Trung tính
"JobSatisfaction_Low_Satisfaction, MonthlyIncome_Mid_Income, OverTime_No, TotalWorkingYears_Mid-Level",1.0,1.0280698430741058,-0.02806984307410576,Trung tính
"DistanceFromHome_Far, TotalWorkingYears_Mid-Level, YearsAtCompany_Mid_Tenure",1.0,1.0284421460892048,-0.02844214608920481,Trung tính
"Department_Sales, JobRole_Sales Executive, JobSatisfaction_Low_Satisfaction, OverTime_No",1.0,1.0285617425205529,-0.02856174252055288,Trung tính
"Department_Sales, EnvironmentSatisfaction_3, OverTime_No",1.0,1.0285617425205529,-0.02856174252055288,Trung tính
"Department_Research & Development, JobRole_Research Scientist, JobSatisfaction_High_Satisfaction, TotalWorkingYears_Mid-Level",1.0,1.0285617425205529,-0.02856174252055288,Trung tính
"DistanceFromHome_Medium, MonthlyIncome_Mid_Income, TotalWorkingYears_Mid-Level, YearsAtCompany_Mid_Tenure",1.0,1.029131898697116,-0.029131898697116076,Trung tính
"Department_Research & Development, JobSatisfaction_High_Satisfaction, MaritalStatus_Married, YearsAtCompany_Short_Tenure",1.0,1.029131898697116,-0.029131898697116076,Trung tính
"MaritalStatus_Single, MonthlyIncome_High_Income, WorkLifeBalance_3",1.0,1.029131898697116,-0.029131898697116076,Trung tính
"DistanceFromHome_Medium, EnvironmentSatisfaction_4, JobSatisfaction_High_Satisfaction",1.0,1.029131898697116,-0.029131898697116076,Trung tính
"JobSatisfaction_Low_Satisfaction, MonthlyIncome_High_Income, WorkLifeBalance_3",1.0,1.0295652173913046,-0.029565217391304577,Trung tính
"Department_Research & Development, EnvironmentSatisfaction_3, TotalWorkingYears_Mid-Level, YearsAtCompany_Mid_Tenure",1.0,1.029657770898801,-0.02965777089880106,Trung tính
"JobSatisfaction_High_Satisfaction, WorkLifeBalance_4",1.0,1.0302603327965647,-0.030260332796564704,Trung tính
"Age_Middle-Aged, EnvironmentSatisfaction_4, JobSatisfaction_Low_Satisfaction",1.0,1.0309576797119544,-0.0309576797119544,Trung tính
"EnvironmentSatisfaction_1, JobSatisfaction_High_Satisfaction, OverTime_No, WorkLifeBalance_3",1.0,1.0309576797119544,-0.0309576797119544,Trung tính
"DistanceFromHome_Near, JobSatisfaction_High_Satisfaction, MonthlyIncome_Mid_Income",1.0,1.0314077321749957,-0.031407732174995706,Trung tính
"JobSatisfaction_Low_Satisfaction, MonthlyIncome_Low_Income",1.0,1.0315762173377425,-0.03157621733774252,Trung tính
"Age_Middle-Aged, DistanceFromHome_Medium, MonthlyIncome_Mid_Income, TotalWorkingYears_Mid-Level",1.0,1.0319239005926593,-0.03192390059265926,Trung tính
"JobSatisfaction_High_Satisfaction, TotalWorkingYears_Mid-Level, YearsAtCompany_Short_Tenure",1.0,1.0319239005926593,-0.03192390059265926,Trung tính
"Age_Middle-Aged, Department_Sales, JobRole_Sales Executive, MaritalStatus_Married",1.0,1.0319239005926593,-0.03192390059265926,Trung tính
"EnvironmentSatisfaction_3, JobSatisfaction_Low_Satisfaction, YearsAtCompany_Mid_Tenure",1.0,1.0319239005926593,-0.03192390059265926,Trung tính
"Department_Research & Development, TotalWorkingYears_Junior, WorkLifeBalance_3",1.0,1.031947261663286,-0.0319472616632861,Trung tính
"Department_Research & Development, JobSatisfaction_Low_Satisfaction, OverTime_No, TotalWorkingYears_Mid-Level, YearsAtCompany_Mid_Tenure",1.0,1.0320335863814123,-0.03203358638141229,Trung tính
MonthlyIncome_Low_Income,2.6765072460226302,2.709147578291199,-0.032640332268568883,Trung tính
"Age_Middle-Aged, Department_Research & Development, DistanceFromHome_Medium, TotalWorkingYears_Mid-Level",1.0,1.0327428878153517,-0.03274288781535173,Trung tính
"Department_Research & Development, JobSatisfaction_Low_Satisfaction, TotalWorkingYears_Mid-Level, YearsAtCompany_Mid_Tenure",1.0,1.0328652008748704,-0.03286520087487044,Trung tính
Age_Young,2.348168380462725,2.381522400361075,-0.03335401989834974,Trung tính
"MaritalStatus_Single, MonthlyIncome_Low_Income",1.0,1.03424178895877,-0.03424178895877006,Trung tính
"EnvironmentSatisfaction_4, JobSatisfaction_Low_Satisfaction, YearsAtCompany_Mid_Tenure",1.0,1.0344888605758171,-0.034488860575817126,Trung tính
"Age_Middle-Aged, Department_Research & Development, JobSatisfaction_High_Satisfaction, YearsAtCompany_Short_Tenure",1.0,1.0351502138941753,-0.035150213894175275,Trung tính
"DistanceFromHome_Near, JobSatisfaction_High_Satisfaction, WorkLifeBalance_2",1.0,1.0351502138941753,-0.035150213894175275,Trung tính
"Age_Middle-Aged, Department_Sales, JobRole_Sales Executive, JobSatisfaction_High_Satisfaction, TotalWorkingYears_Mid-Level",1.0,1.0351502138941753,-0.035150213894175275,Trung tính
"EnvironmentSatisfaction_3, JobSatisfaction_High_Satisfaction, TotalWorkingYears_Mid-Level, YearsAtCompany_Mid_Tenure",1.0,1.0357126732583863,-0.03571267325838634,Trung tính
"Department_Sales, JobRole_Sales Executive, MonthlyIncome_Mid_Income, WorkLifeBalance_3",1.0,1.0357126732583863,-0.03571267325838634,Trung tính
"Age_Middle-Aged, Department_Sales, DistanceFromHome_Medium",1.0,1.0361968774067072,-0.036196877406707184,Trung tính
"Age_Middle-Aged, Department_Sales, JobRole_Sales Executive, TotalWorkingYears_Mid-Level, WorkLifeBalance_3",1.0,1.0361968774067072,-0.036196877406707184,Trung tính
"Department_Research & Development, MaritalStatus_Single, OverTime_No, YearsAtCompany_Mid_Tenure",1.0,1.0361968774067074,-0.036196877406707406,Trung tính
"EnvironmentSatisfaction_4, MaritalStatus_Single",1.0,1.0364145658263304,-0.0364145658263304,Trung tính
"Age_Middle-Aged, Department_Research & Development, DistanceFromHome_Far",1.0,1.0364145658263304,-0.0364145658263304,Trung tính
"MaritalStatus_Married, MonthlyIncome_High_Income, TotalWorkingYears_Mid-Level",1.0,1.0367149758454106,-0.03671497584541061,Trung tính
"Department_Sales, JobRole_Sales Executive, MaritalStatus_Married, TotalWorkingYears_Mid-Level",1.0,1.0367149758454106,-0.03671497584541061,Trung tính
"Department_Research & Development, JobRole_Laboratory Technician, MonthlyIncome_Low_Income, OverTime_No",1.0,1.0368561068666156,-0.03685610686661556,Trung tính
"Age_Middle-Aged, MaritalStatus_Single, MonthlyIncome_High_Income",1.0,1.0374159325565975,-0.037415932556597475,Trung tính
"EnvironmentSatisfaction_4, JobSatisfaction_Low_Satisfaction, WorkLifeBalance_3",1.0,1.0375367871619745,-0.037536787161974505,Trung tính
"EnvironmentSatisfaction_2, MonthlyIncome_High_Income",1.0,1.0378681626928472,-0.03786816269284721,Trung tính
"MonthlyIncome_Mid_Income, WorkLifeBalance_2",1.0,1.0382487524114732,-0.038248752411473186,Trung tính
"Department_Research & Development, DistanceFromHome_Medium, EnvironmentSatisfaction_3",1.0,1.0382487524114732,-0.038248752411473186,Trung tính
"Department_Research & Development, JobRole_Laboratory Technician, JobSatisfaction_High_Satisfaction, OverTime_No",1.0,1.038853792476981,-0.03885379247698095,Trung tính
"Department_Research & Development, DistanceFromHome_Medium, MaritalStatus_Married, YearsAtCompany_Mid_Tenure",1.0,1.0392090776317269,-0.039209077631726874,Trung tính
"Department_Research & Development, JobSatisfaction_Low_Satisfaction, WorkLifeBalance_2",1.0,1.0392090776317269,-0.039209077631726874,Trung tính
"MaritalStatus_Married, MonthlyIncome_High_Income, YearsAtCompany_Long_Tenure",1.0,1.0392090776317269,-0.039209077631726874,Trung tính
"Age_Middle-Aged, Department_Research & Development, JobRole_Research Scientist, YearsAtCompany_Mid_Tenure",1.0,1.0392090776317269,-0.039209077631726874,Trung tính
"DistanceFromHome_Medium, EnvironmentSatisfaction_3, YearsAtCompany_Mid_Tenure",1.0,1.0392090776317269,-0.039209077631726874,Trung tính
"DistanceFromHome_Medium, TotalWorkingYears_Mid-Level, WorkLifeBalance_3, YearsAtCompany_Mid_Tenure",1.0,1.040148475668004,-0.04014847566800395,Trung tính
"OverTime_No, WorkLifeBalance_4",1.0,1.040148475668004,-0.04014847566800395,Trung tính
"EnvironmentSatisfaction_3, JobSatisfaction_Low_Satisfaction, OverTime_No",1.0,1.0404499242915854,-0.04044992429158545,Trung tính
"DistanceFromHome_Near, EnvironmentSatisfaction_2",1.0,1.040920716112532,-0.04092071611253201,Trung tính
"Age_Middle-Aged, MaritalStatus_Single, OverTime_No, TotalWorkingYears_Mid-Level, YearsAtCompany_Mid_Tenure",1.0,1.040961000980991,-0.04096100098099109,Trung tính
"DistanceFromHome_Medium, MonthlyIncome_High_Income, YearsAtCompany_Mid_Tenure",1.0,1.040961000980991,-0.04096100098099109,Trung tính
"Age_Middle-Aged, EnvironmentSatisfaction_3, JobSatisfaction_Low_Satisfaction",1.0,1.0411051784049496,-0.04110517840494965,Trung tính
"Age_Middle-Aged, WorkLifeBalance_4",1.0,1.0411051784049496,-0.04110517840494965,Trung tính
"Age_Senior, OverTime_No, YearsAtCompany_Mid_Tenure",1.0,1.0411051784049496,-0.04110517840494965,Trung tính
"Department_Research & Development, DistanceFromHome_Medium, JobRole_Research Scientist",1.0,1.0411051784049496,-0.04110517840494965,Trung tính
"Department_Research & Development, DistanceFromHome_Far, MaritalStatus_Married",1.0,1.041226959335866,-0.041226959335866065,Trung tính
"DistanceFromHome_Far, JobSatisfaction_High_Satisfaction, MaritalStatus_Married",1.0,1.041226959335866,-0.041226959335866065,Trung tính
"DistanceFromHome_Medium, JobSatisfaction_High_Satisfaction, MonthlyIncome_High_Income",1.0,1.041226959335866,-0.041226959335866065,Trung tính
"Department_Research & Development, DistanceFromHome_Medium, JobSatisfaction_High_Satisfaction, YearsAtCompany_Mid_Tenure",1.0,1.041226959335866,-0.041226959335866065,Trung tính
"Department_Research & Development, JobSatisfaction_High_Satisfaction, MaritalStatus_Married, MonthlyIncome_Low_Income",1.0,1.041226959335866,-0.041226959335866065,Trung tính
"DistanceFromHome_Far, MaritalStatus_Married",1.0,1.0412757973733586,-0.041275797373358625,Trung tính
"EnvironmentSatisfaction_3, TotalWorkingYears_Mid-Level, WorkLifeBalance_3, YearsAtCompany_Mid_Tenure",1.0,1.0413311862587225,-0.04133118625872245,Trung tính
"Department_Research & Development, EnvironmentSatisfaction_1, JobSatisfaction_High_Satisfaction, OverTime_No",1.0,1.0426731078904992,-0.04267310789049916,Trung tính
"Department_Research & Development, DistanceFromHome_Near, OverTime_No, YearsAtCompany_Short_Tenure",1.0,1.0426731078904992,-0.04267310789049916,Trung tính
"Age_Middle-Aged, JobSatisfaction_High_Satisfaction, WorkLifeBalance_2",1.0,1.0426731078904992,-0.04267310789049916,Trung tính
"Department_Sales, MaritalStatus_Divorced",1.0,1.0426731078904992,-0.04267310789049916,Trung tính
"Age_Middle-Aged, Department_Research & Development, JobRole_Research Scientist, TotalWorkingYears_Mid-Level",1.0,1.0426731078904992,-0.04267310789049916,Trung tính
"MaritalStatus_Divorced, WorkLifeBalance_2",1.0,1.0426731078904992,-0.04267310789049916,Trung tính
"EnvironmentSatisfaction_4, MaritalStatus_Married, YearsAtCompany_Mid_Tenure",1.0,1.0426731078904992,-0.04267310789049916,Trung tính
"Department_Research & Development, JobSatisfaction_High_Satisfaction, MaritalStatus_Single, TotalWorkingYears_Mid-Level",1.0,1.0442087089330478,-0.04420870893304785,Trung tính
"Department_Sales, EnvironmentSatisfaction_3, JobRole_Sales Executive",1.0,1.0442087089330478,-0.04420870893304785,Trung tính
"EnvironmentSatisfaction_1, OverTime_No, YearsAtCompany_Mid_Tenure",1.0,1.0442087089330478,-0.04420870893304785,Trung tính
"Age_Middle-Aged, JobSatisfaction_High_Satisfaction, WorkLifeBalance_3, YearsAtCompany_Short_Tenure",1.0,1.0443467404874343,-0.044346740487434255,Trung tính
